koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
"CONFIRMED",7.8774163,1.493e-05,-1.493e-05,0.041,0.409,-0.041,2.0805,0.0517,-0.0517,1306.1,37.7,-37.7,2.16,0.09,-0.11,22.18,3.97,-3.59,38.70,3,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.0400,0.1500,-0.1500,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
"CONFIRMED",36.4454001,0.0001809,-0.0001809,0.028,0.437,-0.028,4.007,0.126,-0.126,1122.3,53.4,-53.4,1.99,0.09,-0.09,2.88,0.51,-0.47,21.70,3,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.0400,0.1500,-0.1500,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
"CONFIRMED",3.728732147,9.36e-07,-9.36e-07,0.558,0.13,-0.149,2.683,0.035,-0.035,5226.5,18.5,-18.5,6.02,1.22,-0.52,258.34,162.58,-65.21,345.20,1,5497.00,166.00,-149.00,4.577,0.034,-0.136,-0.1000,0.3000,-0.3000,0.8090,0.1640,-0.0700,0.9070,0.0740,-0.1020
"CANDIDATE",40.4195037,0.0001139,-0.0001139,0.911,5.567,-0.118,3.362,0.14,-0.14,6256,230,-230,7.51,1.12,-0.91,11.29,5.67,-3.57,36.90,1,5446.00,179.00,-163.00,4.507,0.116,-0.105,-0.5400,0.3500,-0.3000,0.7810,0.1160,-0.0950,0.7140,0.1040,-0.0370
"CONFIRMED",2.243380573,2.67e-06,-2.67e-06,0.915,0.009,-0.63,1.1196,0.0384,-0.0384,821.7,25.6,-25.6,1.99,0.1,-0.12,107.60,21.47,-20.32,38.90,1,4149.00,82.00,-91.00,4.698,0.024,-0.027,-0.3200,0.1500,-0.1500,0.5640,0.0300,-0.0330,0.5780,0.0270,-0.0370
"FALSE POSITIVE",10.405998015,2.515e-06,-2.515e-06,0.324,0.061,-0.075,6.5036,0.0145,-0.0145,14488.8,22.4,-22.4,11.23,2.92,-1.95,113.94,90.01,-45.01,745.20,1,5746.00,173.00,-173.00,4.393,0.180,-0.198,-0.5400,0.3000,-0.3000,0.9240,0.2410,-0.1600,0.7700,0.1180,-0.0470
"CONFIRMED",2.337437946,1.951e-06,-1.951e-06,0.28,0.189,-0.28,1.9982,0.0271,-0.0271,971.2,13.7,-13.7,2.34,0.17,-0.09,311.16,69.46,-40.17,82.40,2,5005.00,79.00,-79.00,4.595,0.012,-0.064,0.1400,0.1500,-0.1500,0.7650,0.0550,-0.0280,0.8500,0.0250,-0.0540
"CANDIDATE",7.2406612,1.617e-05,-1.617e-05,1.198,49.85,-0.258,0.558,0.171,-0.171,556.4,44.1,-44.1,19.45,1.4,-0.71,68.63,15.32,-8.86,13.70,2,5005.00,79.00,-79.00,4.595,0.012,-0.064,0.1400,0.1500,-0.1500,0.7650,0.0550,-0.0280,0.8500,0.0250,-0.0540
"CANDIDATE",3.43591631,4.729e-05,-4.729e-05,0.624,0.037,-0.476,3.133,0.407,-0.407,23.2,3.4,-3.4,0.55,0.08,-0.07,617.61,251.11,-186.88,8.70,3,5779.00,104.00,-115.00,4.339,0.132,-0.108,-0.0600,0.1500,-0.1500,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
"CONFIRMED",11.59822233,1.407e-05,-1.407e-05,0.679,0.187,-0.47,2.5237,0.052,-0.052,2804.5,46.3,-46.3,2.65,0.21,-0.29,5.82,1.49,-1.63,71.00,1,3688.00,73.00,-91.00,4.790,0.050,-0.045,0.0000,0.1500,-0.1500,0.4730,0.0370,-0.0510,0.5030,0.0350,-0.0530
"CONFIRMED",6.575315881,3.726e-06,-3.726e-06,0.39,0.065,-0.306,4.3084,0.0306,-0.0306,2793.3,14.9,-14.9,5.31,1.5,-0.81,251.38,209.10,-91.63,221.10,1,5992.00,162.00,-180.00,4.415,0.105,-0.195,-0.3200,0.3000,-0.3000,0.9890,0.2800,-0.1510,0.9270,0.1290,-0.0970
"CONFIRMED",7.275040844,4.677e-06,-4.677e-06,0.547,0.052,-0.229,7.5377,0.0681,-0.0681,3001,11.5,-11.5,4.86,1.05,-0.37,113.64,75.31,-28.97,312.10,1,5485.00,164.00,-180.00,4.556,0.028,-0.161,0.2100,0.2000,-0.3000,0.8670,0.1870,-0.0670,0.9860,0.0650,-0.1150
"CONFIRMED",19.27153892,4.145e-05,-4.145e-05,0.031,0.36,-0.031,2.7594,0.0551,-0.0551,1219.8,35.3,-35.3,1.93,0.1,-0.12,5.66,1.13,-1.06,37.10,2,4077.00,81.00,-81.00,4.702,0.027,-0.027,-0.2400,0.1500,-0.1500,0.5600,0.0300,-0.0340,0.5760,0.0310,-0.0350
"CONFIRMED",10.06524317,1.49e-05,-1.49e-05,0.628,0.003,-0.478,1.369,0.0393,-0.0393,1053.3,39.2,-39.2,1.91,0.1,-0.12,13.43,2.69,-2.50,30.30,2,4077.00,81.00,-81.00,4.702,0.027,-0.027,-0.2400,0.1500,-0.1500,0.5600,0.0300,-0.0340,0.5760,0.0310,-0.0350
"CONFIRMED",12.3935651,3.932e-05,-3.932e-05,0.883,0.033,-0.64,3.8896,0.0834,-0.0834,916.6,29.1,-29.1,2.66,0.54,-0.23,49.68,31.16,-12.97,35.80,1,5557.00,166.00,-166.00,4.603,0.034,-0.128,-0.4000,0.3000,-0.3000,0.7500,0.1520,-0.0650,0.8320,0.0800,-0.0890
"CONFIRMED",43.84439721,9.613e-05,-9.613e-05,0.852,0.039,-0.585,6.802,0.119,-0.119,615.2,7.7,-7.7,2.87,0.43,-0.3,18.77,7.98,-4.80,83.70,4,5854.00,105.00,-117.00,4.406,0.090,-0.110,-0.1200,0.1500,-0.1500,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
"FALSE POSITIVE",3.341913228,9.953e-06,-9.953e-06,1.213,11.28,-0.141,3.813,0.12,-0.12,725.3,21.3,-21.3,21.55,3.54,-1.89,268.67,145.91,-70.67,39.00,1,5295.00,175.00,-159.00,4.551,0.049,-0.105,-0.0200,0.3000,-0.3000,0.8110,0.1330,-0.0710,0.8530,0.0780,-0.0780
"FALSE POSITIVE",1.626630225,1.015e-06,-1.015e-06,1.26,4.827,-0.043,2.1145,0.0285,-0.0285,1620.6,19,-19,32.43,9,-4.83,1355.88,1105.99,-486.60,103.60,1,5735.00,155.00,-172.00,4.410,0.124,-0.186,-0.1800,0.3000,-0.3000,0.9730,0.2700,-0.1450,0.8890,0.1200,-0.0900
